Region,State,StateCode,Education,EducationCode,DeliveryMethod,DeliveryMethodCode,TobaccoUse,TobaccoUseCode,Births,Pctof TotalBirths,AverageBirthWeight,AverageAgeofMother
1,Connecticut,9,8th grade or less,1,Vaginal,1,No,2,540,0.01%,3321.72,29.52
1,Connecticut,9,8th grade or less,1,Cesarean,2,No,2,253,0.01%,3236.66,31.25
1,Connecticut,9,9th through 12th grade with no diploma,2,Vaginal,1,Yes,1,213,0.01%,3079.26,26.33
1,Connecticut,9,9th through 12th grade with no diploma,2,Vaginal,1,No,2,1686,0.04%,3220.34,25.26
1,Connecticut,9,9th through 12th grade with no diploma,2,Cesarean,2,Yes,1,116,0.00%,3062.41,27.19
1,Connecticut,9,9th through 12th grade with no diploma,2,Cesarean,2,No,2,726,0.02%,3199.78,28.01
1,Connecticut,9,9th through 12th grade with no diploma,2,Not Stated,9,No,2,51,0.00%,3160.22,26.53
1,Connecticut,9,High school graduate or GED completed,3,Vaginal,1,Yes,1,422,0.01%,3119.64,27.74
1,Connecticut,9,High school graduate or GED completed,3,Vaginal,1,No,2,3950,0.10%,3253.12,26.92
1,Connecticut,9,High school graduate or GED completed,3,Cesarean,2,Yes,1,229,0.01%,2967.09,28.72
1,Connecticut,9,High school graduate or GED completed,3,Cesarean,2,No,2,2004,0.05%,3233.61,28.84
1,Connecticut,9,High school graduate or GED completed,3,Not Stated,9,No,2,71,0.00%,3211.44,26.42
1,Connecticut,9,"Some college credit, but not a degree",4,Vaginal,1,Yes,1,316,0.01%,3116.27,28.33
1,Connecticut,9,"Some college credit, but not a degree",4,Vaginal,1,No,2,3768,0.10%,3318.19,27.99
1,Connecticut,9,"Some college credit, but not a degree",4,Cesarean,2,Yes,1,179,0.00%,3035.97,29.69
1,Connecticut,9,"Some college credit, but not a degree",4,Cesarean,2,No,2,2090,0.05%,3229.71,29.97
1,Connecticut,9,"Some college credit, but not a degree",4,Not Stated,9,No,2,60,0.00%,3268.92,27.68
1,Connecticut,9,"Associate degree (AA, AS)",5,Vaginal,1,Yes,1,89,0.00%,3179.11,30.19
1,Connecticut,9,"Associate degree (AA, AS)",5,Vaginal,1,No,2,1844,0.05%,3343.69,30.08
1,Connecticut,9,"Associate degree (AA, AS)",5,Cesarean,2,Yes,1,59,0.00%,3114.47,32.14
1,Connecticut,9,"Associate degree (AA, AS)",5,Cesarean,2,No,2,1148,0.03%,3277.79,31.16
1,Connecticut,9,"Associate degree (AA, AS)",5,Not Stated,9,No,2,40,0.00%,3325.35,29.48
1,Connecticut,9,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,Yes,1,47,0.00%,3313.66,31.68
1,Connecticut,9,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,No,2,5353,0.14%,3371.01,31.69
1,Connecticut,9,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,Yes,1,29,0.00%,3284,32.62
1,Connecticut,9,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,No,2,2986,0.08%,3274.36,32.89
1,Connecticut,9,"Bachelor's degree (BA, AB, BS)",6,Not Stated,9,No,2,37,0.00%,3254.11,31.08
1,Connecticut,9,"Master's degree (MA, MS)",7,Vaginal,1,No,2,3822,0.10%,3375.85,32.67
1,Connecticut,9,"Master's degree (MA, MS)",7,Cesarean,2,Yes,1,12,0.00%,2845.67,34.17
1,Connecticut,9,"Master's degree (MA, MS)",7,Cesarean,2,No,2,2233,0.06%,3274.44,33.75
1,Connecticut,9,"Master's degree (MA, MS)",7,Not Stated,9,No,2,36,0.00%,3316.86,33.11
1,Connecticut,9,"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Vaginal,1,No,2,882,0.02%,3360.26,33.76
1,Connecticut,9,"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Cesarean,2,No,2,525,0.01%,3205.63,34.98
1,Connecticut,9,Unknown/Not on certificate,Unk,Vaginal,1,No,2,54,0.00%,2976.68,32.22
1,Connecticut,9,Unknown/Not on certificate,Unk,Vaginal,1,Not Stated,9,24,0.00%,2730.58,29.83
1,Connecticut,9,Unknown/Not on certificate,Unk,Cesarean,2,No,2,24,0.00%,3147.25,30.88
1,Maine,23,8th grade or less,1,Vaginal,1,Yes,1,12,0.00%,2958.92,25.25
1,Maine,23,8th grade or less,1,Vaginal,1,No,2,121,0.00%,3337.85,29.76
1,Maine,23,8th grade or less,1,Cesarean,2,No,2,23,0.00%,3084.35,32.22
1,Maine,23,9th through 12th grade with no diploma,2,Vaginal,1,Yes,1,205,0.01%,3104.11,24.29
1,Maine,23,9th through 12th grade with no diploma,2,Vaginal,1,No,2,285,0.01%,3291.36,22.51
1,Maine,23,9th through 12th grade with no diploma,2,Cesarean,2,Yes,1,85,0.00%,3005.23,26.21
1,Maine,23,9th through 12th grade with no diploma,2,Cesarean,2,No,2,101,0.00%,3255.62,24.41
1,Maine,23,High school graduate or GED completed,3,Vaginal,1,Yes,1,649,0.02%,3162.61,26.2
1,Maine,23,High school graduate or GED completed,3,Vaginal,1,No,2,1855,0.05%,3382.61,25.46
1,Maine,23,High school graduate or GED completed,3,Cesarean,2,Yes,1,275,0.01%,3054.78,27.49
1,Maine,23,High school graduate or GED completed,3,Cesarean,2,No,2,747,0.02%,3293.53,27.39
1,Maine,23,"Some college credit, but not a degree",4,Vaginal,1,Yes,1,259,0.01%,3220.85,27.75
1,Maine,23,"Some college credit, but not a degree",4,Vaginal,1,No,2,1628,0.04%,3446.2,27.18
1,Maine,23,"Some college credit, but not a degree",4,Cesarean,2,Yes,1,143,0.00%,3087.61,28.15
1,Maine,23,"Some college credit, but not a degree",4,Cesarean,2,No,2,596,0.02%,3359.31,28.72
1,Maine,23,"Associate degree (AA, AS)",5,Vaginal,1,Yes,1,47,0.00%,3132.91,30.26
